Days of airfrost,Precipitation,Sunshine hours,Humidity (%),Wind Speed,Aircraft total movements,Weather and flight condition category,Runway surface minimal temperature,Runway surface maximal temperature
0,25.2,268.2,58.5,2.2,1330,1,15.2,27.0
0,52.4,124.0,61.8,3.1,1305,2,13.3,22.3
1,6.9,154.6,58.4,1.8,1250,0,4.8,13.6
7,43.6,96.7,56.9,3.6,1347,0,4.5,11.5
6,63.3,60.8,84.9,4.1,1302,3,4.0,10.7
0,60.7,180.4,62.3,3.4,1334,2,11.6,20.7
0,21.6,201.4,60.1,2.0,1341,1,14.6,24.7
0,18.0,161.8,60.8,2.0,1183,1,15.1,25.0
0,59.0,120.1,64.1,3.4,1260,2,11.0,19.2
0,80.0,149.6,57.6,3.8,1284,0,9.7,17.9
0,38.4,196.6,57.5,3.1,1381,0,9.3,18.6
0,27.2,20.5,67.5,3.4,1330,3,5.2,9.9
0,21.2,215.7,58.0,2.2,1242,1,12.7,22.3
5,43.6,133.4,57.3,3.5,1304,0,5.0,13.3
0,57.6,147.0,63.8,3.5,1247,2,8.1,17.2
0,52.9,139.1,56.8,3.6,1309,0,6.3,14.2
0,20.2,219.7,58.4,2.2,1244,1,13.5,22.8
8,38.6,63.9,71.1,3.9,1299,3,1.8,8.0
5,14.4,34.4,67.1,2.8,1297,3,4.1,8.9
0,43.0,110.7,63.8,3.1,1306,2,11.2,18.5
0,41.6,202.0,57.9,3.2,1306,0,9.1,18.0
5,5.4,230.5,56.6,1.2,1342,0,3.9,14.6
0,101.2,149.1,68.0,4.0,1327,2,12.7,20.4
0,26.9,184.3,58.5,2.6,1376,1,13.0,21.4
7,36.4,57.9,66.1,3.7,1269,3,3.1,9.1
3,25.0,147.5,57.3,2.8,1196,0,5.5,14.3
5,6.6,113.1,72.2,1.7,1333,3,3.5,11.6
0,67.2,139.7,58.1,3.5,1315,1,12.4,20.1
0,34.2,155.3,58.2,2.8,1422,0,10.1,20.2
0,56.8,250.2,57.8,3.1,1323,1,13.5,25.3
1,64.2,144.5,56.2,4.0,1389,0,4.3,11.5
0,25.8,182.6,56.6,2.9,1338,0,5.9,15.1
1,9.9,182.3,57.5,1.9,1317,0,4.3,13.7
2,52.8,158.5,56.6,3.7,1299,0,4.8,13.1
12,16.0,89.2,62.8,2.8,1171,2,1.8,9.9
11,108.6,35.4,79.4,4.9,1383,3,2.6,7.8
1,12.4,156.1,56.7,2.1,1351,0,4.6,14.3
0,64.8,164.8,57.0,3.5,1349,0,10.4,19.8
0,93.4,101.7,59.8,3.8,1293,1,12.7,20.7
9,87.3,54.0,62.4,4.6,1292,3,1.7,8.4
0,29.4,195.0,60.6,2.7,1307,2,11.0,20.9
0,27.8,201.1,58.1,2.4,1288,1,14.2,24.4
0,104.3,152.2,58.5,4.0,1236,1,10.7,19.4
0,3.1,118.5,65.0,0.4,1264,2,11.7,19.6
17,85.3,47.0,66.4,5.3,1305,3,-1.5,4.4
0,110.8,118.5,58.2,4.0,1354,1,11.6,19.4
0,17.2,217.2,56.6,2.3,1270,0,7.4,16.8
0,16.0,182.8,59.8,1.6,1297,1,14.5,24.0
10,38.5,45.3,97.4,4.0,1378,3,1.7,7.0
0,15.2,159.3,56.6,2.3,1299,0,4.7,14.0
0,49.6,118.9,63.1,3.2,1315,2,11.1,19.7
1,40.0,126.4,56.5,3.5,1363,0,5.1,12.3
8,56.7,49.3,70.4,4.2,1300,3,2.8,8.7
7,34.4,68.5,70.4,3.6,1256,3,3.4,9.8
0,71.8,189.7,57.0,3.4,1325,1,13.8,23.7
1,71.9,70.9,70.6,4.2,1370,3,4.4,10.7
4,39.8,106.4,58.0,3.6,1352,0,3.7,11.1
0,39.8,94.2,59.1,3.3,1275,2,9.3,15.8
7,48.0,80.1,67.1,4.1,1310,3,1.6,7.9
10,50.9,58.5,65.7,4.0,1295,3,2.7,9.2
0,59.5,149.1,56.6,3.5,1172,0,8.6,17.1
1,28.2,259.2,56.7,2.8,1353,0,8.5,18.7
8,63.6,50.0,69.4,4.4,1345,3,1.9,8.2
0,19.2,232.5,59.2,1.8,1337,1,12.9,24.2
0,36.7,161.4,63.1,2.9,1310,2,10.8,19.6
0,105.8,132.1,63.4,3.9,1348,2,12.5,20.1
18,11.1,54.4,71.3,3.4,1323,3,-1.0,3.6
1,52.1,123.2,57.2,3.6,1271,0,5.7,13.6
13,25.3,67.2,65.6,3.8,1401,3,0.2,5.7
0,9.1,138.7,58.0,1.7,1407,0,7.7,15.7
0,43.1,42.7,62.3,3.5,1286,2,8.4,13.6
0,37.3,210.5,58.1,3.1,1299,0,7.2,16.4
0,42.9,113.7,60.5,3.1,1279,2,11.3,19.3
0,50.8,194.5,57.7,3.0,1265,1,14.9,25.5
